verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey
Colaptes campestris,"Colaptes campestris (Vieillot, 1818)",2478233,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes campestris,Colaptes campestris,"(Vieillot, 1818)",2478233
Columba livia,"Columba livia J.F.Gmelin, 1789",2495414,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba livia,Columba livia,"J.F.Gmelin, 1789",2495414
Columbina picui,"Columbina picui (Temminck, 1813)",2495865,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,Columbina picui,Columbina picui,"(Temminck, 1813)",2495865
Columbina squamata,"Columbina squammata (R.Lesson, 1831)",2495888,FUZZY,96,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,Columbina squammata,Columbina squammata,"(R.Lesson, 1831)",2495888
Columbina talpacoti,"Columbina talpacoti (Temminck, 1810)",2495858,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Columbina talpacoti,"(Temminck, 1810)",2495858
Commelina erecta,Commelina erecta L.,2764389,EXACT,98,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,Commelina erecta,Commelina erecta,L.,2764389
Condylostylus longicornis,"Condylostylus longicornis (Fabricius, 1775)",9400286,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Condylostylus,Condylostylus longicornis,Condylostylus longicornis,"(Fabricius, 1775)",9400286
Conirostrum speciosum,"Conirostrum speciosum (Temminck, 1824)",5230621,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Conirostrum,Conirostrum speciosum,Conirostrum speciosum,"(Temminck, 1824)",5230621
Conyza bonariensis,Conyza bonariensis (L.) Cronquist,5404795,EXACT,97,SYNONYM,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron bonariensis,Conyza bonariensis,(L.) Cronquist,5404795
Copaifera langsdorffii,Copaifera langsdorffii Desf.,2978171,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Copaifera,Copaifera langsdorffii,Copaifera langsdorffii,Desf.,2978171
Coprinellus,Coprinellus P.Karst.,2534558,HIGHERRANK,94,ACCEPTED,GENUS,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,,Coprinellus,P.Karst.,2534558
