instagram;iNaturalist;entrada;primeiro_post;ultimo_post;registros;especies;curso;reg_antes_apos_curso;registros_pre_curso;registros_pos_curso;registrou;tempo_no_IN;tempo_primeiro_post;tempo_ativo
;maduscia;20/06/2020;13/07/2020;23/07/2021;11;5;;;;;Sim;1266;23;375
;maisa21;13/05/2023;13/05/2023;20/10/2023;2;1;;;;;Sim;209;0;160
;marcelobrotto;09/06/2018;18/06/2018;03/11/2023;1;1;;;;;Sim;2008;9;1964
;marcelomachado;28/04/2019;28/04/2019;30/09/2019;1;0;;;;;Sim;1685;0;155
;marcelomadeira;17/05/2023;05/06/2023;10/07/2023;75;29;;;;;Sim;205;19;35
;marcia_batista;08/08/2021;08/08/2021;06/11/2021;3;0;;;;;Sim;852;0;90
;marco_sena;28/08/2021;28/08/2021;02/12/2023;6;3;;;;;Sim;832;0;826
;marcoapedro;27/01/2020;27/01/2020;02/09/2020;1;0;;;;;Sim;1411;0;219
;marcos_eduardo;17/01/2021;29/01/2022;06/07/2022;4;3;;;;;Sim;1055;377;158
;marcos138;12/10/2019;12/10/2019;12/10/2019;3;3;;;;;Sim;1518;0;0
;maria_aparecida2;02/06/2021;02/06/2021;02/06/2021;2;0;;;;;Sim;919;0;0
Maria Fernanda Falcão;maria_fernanda199;13/05/2023;;;;;13/05/2023;;;;;209;;
;maria199999;13/05/2023;13/05/2023;01/06/2023;4;2;;;;;Sim;209;0;19
;mariana-chiesa;24/04/2021;08/07/2021;05/07/2022;1;0;;;;;Sim;958;75;362
;mariana345;23/05/2020;23/05/2020;23/05/2020;1;0;;;;;Sim;1294;0;0
marianna__cs;marianna_c_santos;13/05/2023;13/05/2023;14/10/2023;23;14;13/05/2023;Depos do curso;0;25;Sim;209;0;154
;mateus_vasconcelos;29/07/2022;02/01/2023;25/01/2023;1;1;;;;;Sim;497;157;23
;matheus_guimaraes;16/04/2021;16/04/2021;16/04/2021;2;0;;;;;Sim;966;0;0
;matheussoares1;13/01/2020;31/01/2020;12/08/2023;1;1;;;;;Sim;1425;18;1289
maycruzn;mayracruzbio;13/05/2023;;;;;13/05/2023;;;;;209;;
mcrisgag;mcrisgag;19/04/2023;13/05/2023;14/05/2023;22;10;;;;;Sim;;24;1
;md-in-ns15;17/03/2018;17/03/2018;02/12/2023;4;4;;;;;Sim;2092;0;2086
;meu_diario_da_natureza;19/04/2022;19/04/2022;29/06/2023;1;0;;;;;Sim;598;0;436
;micaelrodrigues;05/05/2023;05/05/2023;27/08/2023;40;32;;;;;Sim;217;0;591
;michelotto;19/07/2018;20/07/2018;02/12/2023;2;2;;;;;Sim;1968;1;1961
;miguelrelvas31;11/06/2022;11/06/2022;29/11/2023;2;2;;;;;Sim;545;0;536
;milenaviana;27/11/2023;27/11/2023;27/11/2023;1;0;;;;;Sim;11;0;0
;millerpessanha;14/11/2022;14/11/2022;21/12/2023;13;8;;;;;Sim;389;0;402
;mirzabenine;10/04/2020;10/04/2020;10/04/2020;1;0;;;;;Sim;1337;0;0
;mitidi;25/05/2020;25/05/2020;17/11/2023;75;60;;;;;Sim;1292;0;1271
;mmlsrj;30/12/2018;30/12/2018;22/02/2019;1;0;;;;;Sim;1804;0;54
;monica792;27/09/2021;28/09/2021;09/11/2023;1;0;;;;;Sim;802;1;772
;monique381;04/07/2022;04/07/2022;04/07/2022;2;1;;;;;Sim;522;0;0
;monteiro_alves;09/04/2022;09/04/2022;09/04/2022;1;0;;;;;Sim;608;0;0
;moopellegrini;01/04/2019;02/04/2019;26/04/2021;4;1;;;;;Sim;1712;1;755
;morena_nava;15/12/2021;18/12/2021;16/09/2023;1;1;;;;;Sim;723;3;637
;mpaixao;25/01/2023;19/05/2023;09/09/2023;41;31;;;;;Sim;317;114;113
;msmarcosalmeida;28/01/2023;27/03/2023;27/03/2023;2;0;;;;;Sim;314;58;0
;myth_23;04/07/2021;12/07/2021;23/11/2023;6;4;;;;;Sim;887;8;864
maryanealmeida;nanyalmeida;15/04/2023;23/05/2023;30/11/2023;68;46;12/02/2023;;;;Sim;237;38;191
nathanrm1;nathanrm12;10/05/2023;10/05/2023;23/05/2023;103;81;;;;;Sim;212;0;13
;navarro22;25/06/2020;25/07/2020;30/11/2023;27;13;;;;;Sim;1261;30;1223
nchnogueira;ncnogueira;08/06/2023;08/06/2023;28/06/2023;13;10;;;;;Sim;183;0;20
;neilton_caetano;14/11/2020;14/11/2020;02/09/2023;2;1;;;;;Sim;1119;0;1022
